State,"AgeAdjustedIncidenceRatesF-per100,1000",AgeLconfF,AgeUconfF,AverageAnnualCountF,Recent5-YearTrendF,RLconfF,RUconfF,RecentTrend,TrendF,"AgeAdjustedIncidenceRate-CasesPer100,000",AgeLconfM,AgeUconfM,AverageAnnualCountM,Recent5-YearTrendIncidenceRates,RLconfM,RUconfM,TrendM,RecentTrendM,AgeAdjustedIncidenceRateA,LconfA,UconfA,AverageAnnualCount,Recent5YrTrend,RLconfA,RUconfA,RecentTrendA,TrendA
Alabama,9.6,9.1,10.1,284.0,-0.3,-3.9,3.5,stable,0,15.5,14.8,16.2,376.0,-1.5,-2.6,-0.5,falling,-1,12.1,11.7,12.6,660.0,-0.6,-2.1,0.9,stable,0
Alaska,8.8,7.3,10.5,26.0,2.3,-17.4,26.7,stable,0,13.4,11.4,15.5,43.0,-5.5,-29.7,27.2,stable,0,11.1,9.9,12.4,69.0,-2.1,-16.2,14.4,stable,0
Arizona,9.1,8.6,9.5,347.0,-3.9,-13.0,6.1,stable,0,14.6,14.0,15.1,503.0,-4.7,-10.4,1.2,stable,0,11.6,11.2,11.9,850.0,-4.3,-10.1,1.9,stable,0
Arkansas,10.0,9.3,10.7,181.0,5.0,-2.6,13.2,stable,0,16.5,15.6,17.5,256.0,6.2,-4.0,17.4,stable,0,12.9,12.4,13.5,437.0,5.8,-1.8,14.0,stable,0
California,9.6,9.4,9.8,1997.0,-1.9,-3.4,-0.5,falling,-1,15.9,15.7,16.2,2844.0,-2.1,-5.6,1.5,stable,0,12.5,12.3,12.6,4841.0,-1.9,-3.0,-0.7,falling,-1
Colorado,10.3,9.7,10.8,287.0,-3.2,-8.6,2.5,stable,0,17.2,16.4,18.0,425.0,-3.7,-7.8,0.7,stable,0,13.4,13.0,13.9,712.0,-3.6,-7.7,0.6,stable,0
Connecticut,11.5,10.9,12.2,268.0,-4.9,-12.6,3.5,stable,0,18.7,17.8,19.6,351.0,-4.7,-12.1,3.4,stable,0,14.7,14.2,15.2,619.0,-5.9,-10.0,-1.6,falling,-1
Delaware,10.2,9.1,11.5,61.0,-8.6,-21.7,6.7,stable,0,19.1,17.4,21.0,94.0,-2.5,-18.5,16.6,stable,0,14.2,13.2,15.2,154.0,-5.0,-18.0,10.1,stable,0
District of Columbia,7.7,6.4,9.1,27.0,-13.1,-31.5,10.2,stable,0,12.5,10.6,14.6,33.0,-18.2,-27.5,-7.7,falling,-1,9.7,8.6,10.9,60.0,-15.5,-26.3,-3.2,falling,-1
Florida,10.0,9.7,10.3,1327.0,-2.8,-5.9,0.5,stable,0,16.1,15.8,16.5,1873.0,-2.6,-4.6,-0.4,falling,-1,12.8,12.6,13.0,3200.0,-2.6,-5.0,-0.1,falling,-1
Georgia,11.2,10.8,11.6,598.0,1.2,0.6,1.8,rising,1,17.9,17.4,18.5,775.0,1.0,0.1,2.0,rising,1,14.1,13.7,14.4,1373.0,1.1,0.4,1.9,rising,1
Hawaii,9.0,8.1,10.0,75.0,1.9,0.3,3.5,rising,1,14.1,12.9,15.4,107.0,0.4,-0.6,1.3,stable,0,11.4,10.6,12.1,182.0,1.0,0.2,1.9,rising,1
Idaho,13.1,12.0,14.2,117.0,1.1,-6.2,8.9,stable,0,18.9,17.6,20.3,156.0,2.8,-6.4,13.0,stable,0,15.8,15.0,16.7,273.0,2.0,-5.8,10.5,stable,0
Illinois,10.5,10.2,10.8,794.0,-2.2,-4.2,-0.2,falling,-1,17.3,16.8,17.7,1062.0,-2.0,-4.5,0.6,stable,0,13.4,13.2,13.7,1856.0,-2.1,-4.0,0.0,stable,0
Indiana,10.5,10.1,11.0,407.0,-3.6,-6.6,-0.4,falling,-1,17.2,16.5,17.8,551.0,-1.8,-9.1,6.1,stable,0,13.5,13.1,13.8,958.0,-2.5,-6.7,1.9,stable,0
Iowa,12.1,11.4,12.8,242.0,0.3,-0.1,0.7,stable,0,20.9,19.9,21.9,350.0,-0.1,-0.4,0.2,stable,0,16.0,15.4,16.6,592.0,0.2,-0.1,0.4,stable,0
